,time,/Pкха,Pпха1,t1впг,/t1пг,t2кха,/t2пг,/t3пг,/t4пг,/t5пг,/t6пг,/t7пг,впг'',tвпг',tпха1
1970-01-01 00:00:00,36456.904,0.174,0.271,93.725,85.209,63.527,84.241,84.88600000000001,85.155,83.99700000000001,83.62100000000001,83.78200000000001,107.476,108.633,84.675
1970-01-01 00:00:04,36461.037000000004,0.17300000000000001,0.27,93.725,84.88600000000001,63.527,84.02600000000001,84.618,84.94,83.728,83.46,83.51299999999999,107.476,107.682,84.42
1970-01-01 00:00:07,36463.914,0.172,0.26899999999999996,93.469,84.88600000000001,63.477,84.02600000000001,84.618,84.94,83.56700000000001,83.245,83.406,107.348,107.682,84.19
1970-01-01 00:00:10,36466.913,0.171,0.268,93.469,85.00200000000001,63.477,84.02600000000001,84.41,84.618,83.406,83.029,83.406,107.348,106.80799999999999,84.19
1970-01-01 00:00:13,36469.914,0.171,0.267,93.23899999999999,85.00200000000001,63.477,84.02600000000001,84.41,84.618,83.352,82.93,83.029,107.14200000000001,106.80799999999999,83.935
1970-01-01 00:00:16,36472.913,0.16899999999999998,0.266,93.03399999999999,84.618,63.477,83.542,84.03399999999999,84.34899999999999,83.191,82.70700000000001,83.083,107.14200000000001,106.037,83.935
1970-01-01 00:00:19,36475.91,0.16899999999999998,0.265,93.03399999999999,84.618,63.477,83.542,84.03399999999999,84.34899999999999,83.137,82.546,82.76100000000001,106.988,106.037,83.679
1970-01-01 00:00:22,36478.917,0.16699999999999998,0.264,92.75200000000001,84.571,63.477,83.32700000000001,83.70299999999999,84.195,83.137,82.384,82.76100000000001,106.988,105.34299999999999,83.679
1970-01-01 00:00:25,36481.922999999995,0.168,0.264,92.75200000000001,84.571,63.604,83.32700000000001,83.70299999999999,84.195,83.029,82.384,82.59899999999999,106.834,104.649,83.45
1970-01-01 00:00:28,36484.917,0.16699999999999998,0.263,92.49600000000001,84.51799999999999,63.604,83.11200000000001,83.757,83.926,82.868,82.277,82.499,106.834,104.649,83.45
1970-01-01 00:00:31,36488.324,0.166,0.263,92.49600000000001,84.51799999999999,63.781000000000006,83.11200000000001,83.166,83.765,82.93,82.277,82.492,106.62799999999999,104.059,83.22
1970-01-01 00:00:37,36493.943,0.16399999999999998,0.26,92.241,83.87200000000001,64.035,82.851,83.166,83.32700000000001,82.499,81.962,82.331,106.47399999999999,103.51899999999999,82.965
1970-01-01 00:00:40,36496.921,0.163,0.26,91.985,83.389,64.035,82.574,82.79700000000001,83.32700000000001,82.177,81.801,82.23100000000001,106.47399999999999,103.51899999999999,82.965
1970-01-01 00:00:43,36499.91,0.161,0.259,91.985,83.389,64.339,82.574,82.79700000000001,83.066,81.908,81.586,82.069,106.32,102.98,82.76100000000001
1970-01-01 00:00:46,36502.922999999995,0.163,0.258,91.806,82.958,64.339,82.31299999999999,82.52799999999999,83.066,81.747,81.47800000000001,81.801,106.165,102.98,82.76100000000001
1970-01-01 00:00:49,36506.174,0.161,0.257,91.806,82.958,64.72,82.31299999999999,82.26,82.69,81.586,81.317,81.693,106.165,102.544,82.557
