,time,/Pкха,Pпха1,t1впг,/t1пг,t2кха,/t2пг,/t3пг,/t4пг,/t5пг,/t6пг,/t7пг,впг'',tвпг',tпха1
1970-01-01 00:00:00,21098.147,-0.019,0.083,23.767,24.076,23.465999999999998,24.013,24.068,24.013,23.75,23.75,23.75,23.641,23.465999999999998,23.816999999999997
1970-01-01 00:00:11,21109.702,-0.02,0.084,23.767,24.076,23.465999999999998,24.013,24.131,24.013,23.811999999999998,23.811999999999998,23.811999999999998,23.641,23.465999999999998,23.816999999999997
1970-01-01 00:00:19,21117.357999999997,-0.02,0.084,23.767,24.138,23.465999999999998,24.138,24.068,24.076,23.811999999999998,23.811999999999998,23.811999999999998,23.641,23.465999999999998,23.816999999999997
1970-01-01 00:00:29,21128.095,-0.02,0.083,23.767,24.138,23.441,24.138,24.138,24.138,23.875,23.875,23.875,23.641,23.465999999999998,23.816999999999997
1970-01-01 00:00:40,21138.694,-0.02,0.083,23.767,24.201,23.491,24.201,24.138,24.201,23.936999999999998,23.936999999999998,23.819000000000003,23.641,23.465999999999998,23.816999999999997
1970-01-01 00:00:49,21147.267999999996,-0.021,0.083,23.767,24.201,23.441,24.201,24.138,24.201,23.936999999999998,23.936999999999998,23.936999999999998,23.641,23.441,23.791999999999998
1970-01-01 00:00:53,21151.71,-0.02,0.083,23.741999999999997,24.201,23.441,24.263,24.201,24.201,23.936999999999998,23.881999999999998,23.945,23.641,23.441,23.791999999999998
1970-01-01 00:00:56,21154.708,-0.021,0.083,23.741999999999997,24.201,23.441,24.263,24.201,24.201,24.0,23.881999999999998,24.0,23.641,23.441,23.767
1970-01-01 00:00:59,21157.708,-0.019,0.083,23.741999999999997,24.263,23.441,24.263,24.263,24.201,24.0,24.0,24.0,23.641,23.441,23.767
1970-01-01 00:01:02,21160.702999999998,-0.02,0.083,23.741999999999997,24.263,23.441,24.263,24.263,24.263,24.0,23.945,23.945,23.641,23.441,23.791999999999998
1970-01-01 00:01:05,21163.708,-0.02,0.083,23.767,24.326,23.441,24.263,24.263,24.263,24.0,23.945,23.945,23.641,23.441,23.791999999999998
1970-01-01 00:01:08,21166.708,-0.021,0.083,23.767,24.326,23.465999999999998,24.263,24.263,24.326,24.061999999999998,23.945,23.945,23.641,23.441,23.791999999999998
1970-01-01 00:01:11,21169.71,-0.02,0.083,23.741999999999997,24.263,23.465999999999998,24.326,24.263,24.326,24.061999999999998,24.006999999999998,23.945,23.641,23.441,23.791999999999998
1970-01-01 00:01:14,21172.703999999998,-0.02,0.083,23.741999999999997,24.263,23.441,24.326,24.326,24.271,24.061999999999998,24.006999999999998,24.006999999999998,23.641,23.441,23.791999999999998
1970-01-01 00:01:17,21175.707000000002,-0.02,0.083,23.741999999999997,24.326,23.441,24.326,24.326,24.271,24.061999999999998,24.006999999999998,24.006999999999998,23.641,23.441,23.791999999999998
1970-01-01 00:01:20,21178.71,-0.02,0.083,23.741999999999997,24.326,23.441,24.326,24.388,24.271,24.061999999999998,24.006999999999998,24.006999999999998,23.641,23.441,23.767
1970-01-01 00:01:23,21181.709,-0.02,0.08199999999999999,23.741999999999997,24.326,23.441,24.326,24.388,24.271,24.061999999999998,24.006999999999998,24.006999999999998,23.641,23.441,23.767
1970-01-01 00:01:26,21184.702,-0.019,0.083,23.741999999999997,24.326,23.441,24.326,24.388,24.333000000000002,24.061999999999998,24.006999999999998,24.07,23.641,23.441,23.767
1970-01-01 00:01:29,21187.707000000002,-0.02,0.083,23.741999999999997,24.388,23.441,24.388,24.388,24.333000000000002,24.125,24.006999999999998,24.006999999999998,23.641,23.441,23.767
1970-01-01 00:01:32,21190.705,-0.021,0.083,23.741999999999997,24.388,23.441,24.396,24.388,24.333000000000002,24.07,24.07,24.006999999999998,23.641,23.441,23.767
1970-01-01 00:01:35,21193.707000000002,-0.021,0.083,23.741999999999997,24.451,23.441,24.396,24.388,24.333000000000002,24.07,24.07,24.07,23.616,23.441,23.767
1970-01-01 00:01:38,21196.705,-0.02,0.08199999999999999,23.741999999999997,24.451,23.441,24.396,24.388,24.396,24.07,24.07,24.07,23.616,23.441,23.767
1970-01-01 00:01:41,21199.703999999998,-0.02,0.083,23.741999999999997,24.451,23.441,24.396,24.388,24.396,24.07,24.07,24.07,23.616,23.416,23.767
1970-01-01 00:01:44,21202.707000000002,-0.021,0.08199999999999999,23.741999999999997,24.451,23.441,24.396,24.396,24.396,24.131999999999998,24.07,24.131999999999998,23.616,23.416,23.715999999999998
1970-01-01 00:01:47,21205.705,-0.021,0.08199999999999999,23.741999999999997,24.451,23.441,24.396,24.396,24.396,24.131999999999998,24.131999999999998,24.07,23.641,23.416,23.715999999999998
1970-01-01 00:01:50,21208.71,-0.021,0.08199999999999999,23.741999999999997,24.396,23.441,24.396,24.396,24.396,24.131999999999998,24.131999999999998,24.131999999999998,23.641,23.416,23.767
1970-01-01 00:01:53,21211.705,-0.02,0.08199999999999999,23.715999999999998,24.396,23.441,24.396,24.396,24.396,24.131999999999998,24.131999999999998,24.131999999999998,23.616,23.416,23.767
1970-01-01 00:01:56,21214.707000000002,-0.02,0.083,23.715999999999998,24.513,23.441,24.396,24.458000000000002,24.458000000000002,24.131999999999998,24.131999999999998,24.131999999999998,23.616,23.416,23.715999999999998
1970-01-01 00:01:59,21217.713,-0.021,0.08199999999999999,23.741999999999997,24.513,23.441,24.396,24.458000000000002,24.458000000000002,24.131999999999998,24.131999999999998,24.076999999999998,23.616,23.416,23.715999999999998
1970-01-01 00:02:02,21220.705,-0.021,0.08199999999999999,23.741999999999997,24.576,23.441,24.458000000000002,24.458000000000002,24.458000000000002,24.131999999999998,24.131999999999998,24.076999999999998,23.616,23.416,23.741999999999997
1970-01-01 00:02:05,21223.722999999998,-0.02,0.08199999999999999,23.741999999999997,24.576,23.465999999999998,24.458000000000002,24.458000000000002,24.458000000000002,24.131999999999998,24.131999999999998,24.195,23.616,23.416,23.741999999999997
1970-01-01 00:02:08,21226.712000000003,-0.02,0.08199999999999999,23.741999999999997,24.576,23.465999999999998,24.458000000000002,24.458000000000002,24.458000000000002,24.195,24.195,24.14,23.616,23.416,23.741999999999997
1970-01-01 00:02:11,21229.705,-0.021,0.08199999999999999,23.715999999999998,24.576,23.465999999999998,24.458000000000002,24.458000000000002,24.458000000000002,24.195,24.14,24.14,23.616,23.416,23.741999999999997
1970-01-01 00:02:14,21232.705,-0.02,0.08199999999999999,23.715999999999998,24.521,23.465999999999998,24.458000000000002,24.521,24.521,24.195,24.14,24.195,23.616,23.416,23.741999999999997
1970-01-01 00:02:17,21235.705,-0.02,0.08199999999999999,23.715999999999998,24.521,23.416,24.458000000000002,24.521,24.521,24.195,24.14,24.195,23.616,23.416,23.715999999999998
1970-01-01 00:02:20,21238.713,-0.02,0.083,23.715999999999998,24.458000000000002,23.416,24.521,24.521,24.521,24.256999999999998,24.201999999999998,24.14,23.616,23.416,23.715999999999998
1970-01-01 00:02:23,21241.709,-0.021,0.08199999999999999,23.715999999999998,24.458000000000002,23.441,24.521,24.521,24.521,24.256999999999998,24.14,24.201999999999998,23.616,23.416,23.691
1970-01-01 00:02:26,21244.705,-0.021,0.08199999999999999,23.715999999999998,24.521,23.441,24.583000000000002,24.583000000000002,24.583000000000002,24.256999999999998,24.201999999999998,24.201999999999998,23.616,23.416,23.691
1970-01-01 00:02:29,21247.707000000002,-0.02,0.08199999999999999,23.715999999999998,24.521,23.416,24.583000000000002,24.583000000000002,24.528000000000002,24.256999999999998,24.201999999999998,24.201999999999998,23.616,23.416,23.715999999999998
1970-01-01 00:02:32,21250.71,-0.02,0.08199999999999999,23.715999999999998,24.521,23.416,24.521,24.583000000000002,24.528000000000002,24.256999999999998,24.201999999999998,24.201999999999998,23.616,23.416,23.715999999999998
1970-01-01 00:02:35,21253.708,-0.021,0.08199999999999999,23.715999999999998,24.521,23.416,24.521,24.583000000000002,24.528000000000002,24.256999999999998,24.201999999999998,24.201999999999998,23.616,23.416,23.691
1970-01-01 00:02:38,21256.722,-0.021,0.08199999999999999,23.715999999999998,24.583000000000002,23.416,24.583000000000002,24.583000000000002,24.528000000000002,24.256999999999998,24.201999999999998,24.201999999999998,23.616,23.416,23.691
1970-01-01 00:02:41,21259.71,-0.021,0.08199999999999999,23.715999999999998,24.583000000000002,23.416,24.583000000000002,24.583000000000002,24.528000000000002,24.32,24.265,24.265,23.616,23.391,23.691
1970-01-01 00:02:44,21262.709,-0.02,0.08199999999999999,23.715999999999998,24.583000000000002,23.416,24.583000000000002,24.646,24.528000000000002,24.32,24.265,24.265,23.616,23.391,23.691
1970-01-01 00:02:47,21265.705,-0.021,0.08199999999999999,23.715999999999998,24.583000000000002,23.416,24.583000000000002,24.590999999999998,24.590999999999998,24.32,24.265,24.265,23.616,23.416,23.691
