,time,/Pкха,Pпха1,t1впг,/t1пг,t2кха,/t2пг,/t3пг,/t4пг,/t5пг,/t6пг,/t7пг,впг'',tвпг',tпха1
1970-01-01 00:00:00,43133.892,0.245,0.33799999999999997,97.465,92.60799999999999,88.507,92.455,93.25399999999999,93.962,91.507,91.61399999999999,91.875,105.574,113.266,91.575
1970-01-01 00:00:09,43143.1,0.244,0.336,97.26,92.508,88.507,92.23100000000001,93.101,93.73899999999999,91.399,91.507,91.883,105.574,113.111,91.396
1970-01-01 00:00:15,43149.030999999995,0.243,0.33399999999999996,97.081,92.23100000000001,88.353,92.07799999999999,92.985,93.57700000000001,91.184,91.291,91.66799999999999,105.446,112.95700000000001,91.21700000000001
1970-01-01 00:00:18,43152.001,0.24100000000000002,0.33399999999999996,97.081,92.23100000000001,88.2,92.07799999999999,92.985,93.57700000000001,91.07600000000001,91.184,91.61399999999999,105.31700000000001,112.777,91.089
1970-01-01 00:00:22,43155.937999999995,0.24100000000000002,0.33299999999999996,96.90100000000001,92.23899999999999,88.2,91.90899999999999,92.447,93.685,91.022,91.13,91.507,105.215,112.777,91.089
1970-01-01 00:00:27,43161.02099999999,0.24,0.33299999999999996,96.696,92.016,88.021,91.74700000000001,92.339,93.57700000000001,90.915,90.915,91.345,105.215,112.545,90.936
1970-01-01 00:00:30,43164.011,0.239,0.331,96.696,92.016,87.868,91.74700000000001,92.339,93.477,90.861,90.861,91.291,105.11200000000001,112.339,90.78200000000001
1970-01-01 00:00:33,43166.990999999995,0.239,0.33,96.46600000000001,91.962,87.868,91.70100000000001,92.23899999999999,93.477,90.75299999999999,90.861,91.184,105.11200000000001,112.339,90.78200000000001
1970-01-01 00:00:36,43170.029,0.23800000000000002,0.33,96.46600000000001,91.962,87.714,91.70100000000001,92.23899999999999,93.477,90.699,90.807,91.184,105.009,112.081,90.62899999999999
1970-01-01 00:00:39,43173.437999999995,0.23800000000000002,0.32899999999999996,96.184,91.90899999999999,87.714,91.647,92.07799999999999,93.477,90.75299999999999,90.75299999999999,91.184,104.906,111.79799999999999,90.62899999999999
1970-01-01 00:00:45,43179.293,0.235,0.32799999999999996,95.876,92.186,87.40799999999999,91.53200000000001,91.90899999999999,93.262,90.96799999999999,90.75299999999999,91.022,104.804,111.515,90.475
1970-01-01 00:00:51,43185.001,0.235,0.327,95.51799999999999,91.74700000000001,87.40799999999999,91.809,91.809,92.56200000000001,91.61399999999999,91.399,91.13,104.77799999999999,111.335,90.296
1970-01-01 00:00:54,43187.989,0.23600000000000002,0.32799999999999996,95.51799999999999,91.74700000000001,87.25399999999999,91.809,91.97,93.477,91.45299999999999,92.045,91.345,104.77799999999999,111.335,90.169
1970-01-01 00:00:57,43191.037000000004,0.23600000000000002,0.32799999999999996,95.15899999999999,91.916,87.25399999999999,92.29299999999999,91.97,93.477,91.45299999999999,91.507,91.184,104.70100000000001,111.48899999999999,90.169
1970-01-01 00:01:00,43193.996,0.23399999999999999,0.327,95.15899999999999,91.916,87.12700000000001,91.639,91.70100000000001,93.09299999999999,91.184,91.56,91.084,104.70100000000001,111.48899999999999,90.041
1970-01-01 00:01:03,43197.003,0.23399999999999999,0.327,94.698,91.586,87.12700000000001,91.639,91.70100000000001,93.09299999999999,91.022,91.56,91.13,104.47,111.927,90.041
